horizon,hybrid_vs_completed_unmet_mean_difference,hybrid_vs_attended_cost_mean_difference,lower_unmet_than_completed,lower_cost_than_attended,both_original_directions,service_direction_reversal,cost_direction_reversal
1,-2.8461538461538463,-46.6666666666669,True,True,True,False,False
2,-7.523076923076924,-72.92307692307706,True,True,True,False,False
3,-5.676923076923076,-585.6923076923088,True,True,True,False,False
4,0.4153846153846158,-285.53846153846155,False,True,False,True,False
5,0.0,-384.9743589743588,False,True,False,True,False
6,0.0,-556.9743589743588,False,True,False,True,False
7,-7.6,251.7948717948703,True,False,False,False,True
8,-3.646153846153846,-198.61538461538518,True,True,True,False,False
9,-4.723076923076921,150.6153846153846,True,False,False,False,True
10,-2.2153846153846164,-756.2564102564106,True,True,True,False,False
11,1.030769230769231,-255.43589743589726,False,True,False,True,False
12,0.10769230769230813,-347.43589743589837,False,True,False,True,False
13,0.0,-241.69230769230768,False,True,False,True,False
14,-5.984615384615386,-50.0,True,True,True,False,False
15,-1.276923076923076,-144.87179487179563,True,True,True,False,False
16,-3.769230769230771,-259.9487179487181,True,True,True,False,False
17,-0.015384615384615876,-754.5128205128198,True,True,True,False,False
18,1.6769230769230767,-517.8974358974368,False,True,False,True,False
19,-1.6615384615384616,-408.2051282051286,True,True,True,False,False
20,0.0,-652.5128205128198,False,True,False,True,False
21,-7.36923076923077,223.69230769230768,True,False,False,False,True
22,-3.3230769230769233,334.5641025641022,True,False,False,False,True
23,-2.2615384615384624,44.717948717949604,True,False,False,False,True
24,0.9846153846153847,-326.71794871794833,False,True,False,True,False
25,-2.5846153846153856,-454.66666666666663,True,True,True,False,False
26,0.0,-386.5128205128192,False,True,False,True,False
27,0.0,-478.7692307692308,False,True,False,True,False
28,-6.953846153846154,-138.0000000000011,True,True,True,False,False
